Run 1; Ch 5; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM_X 	Run 1; Ch 5; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM_Y 	Run 1; Ch 5; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM; Fitted_X 	Run 1; Ch 5; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM; Fitted_Y 	
-39.5 	0.736399994562817 	-39.5 	0 	
-39.3999977111816 	1.44394787864803 	-39.3999977111816 	0 	
-39.2999992370605 	-1.49960000357532 	-39.2999992370605 	0 	
-39.1999969482422 	-0.378388829347386 	-39.1999969482422 	0 	
-39.0999984741211 	0.209145722485118 	-39.0999984741211 	0 	
-39 	-1.58719998893866 	-39 	0 	
-38.8999977111816 	0.460402906035597 	-38.8999977111816 	0 	
-38.7999992370605 	0.0471999870314903 	-38.7999992370605 	0 	
-38.6999969482422 	-0.0163000996581104 	-38.6999969482422 	0 	
-38.5999984741211 	-0.0525002730355482 	-38.5999984741211 	0 	
-38.5 	-0.0710000040999148 	-38.5 	0 	
-38.3999977111816 	0.0872916684638767 	-38.3999977111816 	0 	
-38.2999992370605 	-0.201199991799513 	-38.2999992370605 	0 	
-38.1999969482422 	-0.00290428380685626 	-38.1999969482422 	0 	
-38.0999984741211 	-0.141103702731925 	-38.0999984741211 	0 	
-38 	-0.114200000287383 	-38 	0 	
-37.8999977111816 	-0.158101015756984 	-37.8999977111816 	0 	
-37.7999992370605 	0.0545000274651102 	-37.7999992370605 	0 	
-37.6999969482422 	0.0614186645507289 	-37.6999969482422 	0 	
-37.5999984741211 	0.567903285598732 	-37.5999984741211 	0 	
-37.5 	0.144099999430182 	-37.5 	0 	
-37.3999977111816 	0.193905821608496 	-37.3999977111816 	0 	
-37.2999992370605 	0.183399997138622 	-37.2999992370605 	0 	
-37.1999969482422 	0.0843033576966263 	-37.1999969482422 	0 	
-37.0999984741211 	-0.0290996639887453 	-37.0999984741211 	0 	
-37 	-0.0402000000103726 	-37 	0 	
-36.8999977111816 	-0.026001292240835 	-36.8999977111816 	0 	
-36.7999992370605 	-0.0581999997193634 	-36.7999992370605 	0 	
-36.6999969482422 	-0.0693999323084427 	-36.6999969482422 	0 	
-36.5999984741211 	-0.0544996708704275 	-36.5999984741211 	0 	
-36.5 	-0.015999998402549 	-36.5 	0 	
-36.3999977111816 	-0.0244004183768993 	-36.3999977111816 	0 	
-36.2999992370605 	-0.0362000010827614 	-36.2999992370605 	0 	
-36.1999969482422 	-0.0314011383197794 	-36.1999969482422 	0 	
-36.0999984741211 	-0.0346005959618196 	-36.0999984741211 	0 	
-36 	-0.0483999974603648 	-36 	0 	
-35.8999977111816 	-0.0566005166401737 	-35.8999977111816 	0 	
-35.7999992370605 	-0.0527000017973478 	-35.7999992370605 	0 	
-35.6999969482422 	-0.0512003895964881 	-35.6999969482422 	0 	
-35.5999984741211 	-0.0460000928760564 	-35.5999984741211 	0 	
-35.5 	-0.0585999993927544 	-35.5 	0 	
-35.3999977111816 	-0.069800046076125 	-35.3999977111816 	0 	
-35.2999992370605 	-0.0630999993336445 	-35.2999992370605 	0 	
-35.1999969482422 	-0.0563001659611473 	-35.1999969482422 	0 	
