AB#,8WSN,8WQW-GC,8YXI,116-21,124-15,124-16,PBST
8WSN,0.6321,0.4399,0.4531,0.7415,0.3536,0.5991,-0.0629
124-15,1.2839,0.0556,0.6196,0.9103,0.0364,0.7445,0.0207
124-16,1.1278,0.6102,0.0369,0.793,0.4004,0.1235,-0.0307
PBST,1.2641,0.6176,0.5813,0.9176,0.4688,0.721,0.0299
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,8WSN,8WQW-GC,8YXI,116-21,124-15,124-16,
8WSN,0.499960446,0.287726684,0.220540169,0.191913688,0.245733788,0.169070735,
124-15,-0.015663318,0.909974093,-0.065886805,0.007955536,0.922354949,-0.03259362,
124-16,0.107823748,0.011981865,0.93652159,0.135789015,0.145904437,0.828710125,
,0,0,0,0,0,0,
