Time (s),Raw Response,Fitted Response
-39.5,-0.87989995994576,0.0
-39.3999977111816,2.44164393157916,0.0
-39.2999992370605,-1.43050000906078,0.0
-39.1999969482422,-0.0146442169207148,0.0
-39.0999984741211,1.38445359993057,0.0
-39.0,-1.07510000176626,0.0
-38.8999977111816,-0.274999753095472,0.0
-38.7999992370605,-0.246000009155978,0.0
-38.6999969482422,-0.0581991501821904,0.0
-38.5999984741211,-0.0062996847154863,0.0
-38.5,-0.0518999861742486,0.0
-38.3999977111816,-0.0362904765133862,0.0
-38.2999992370605,0.201400003003073,0.0
-38.1999969482422,-0.205291968683014,0.0
-38.0999984741211,0.167993251274311,0.0
-38.0,0.0280000004313479,0.0
-37.8999977111816,0.0813746099447599,0.0
-37.7999992370605,-0.686899973869004,0.0
-37.6999969482422,0.196101473713497,0.0
-37.5999984741211,-0.0126979819324333,0.0
-37.5,-0.0133999823592603,0.0
-37.3999977111816,-0.0597979208941979,0.0
-37.2999992370605,-0.0906999968501623,0.0
-37.1999969482422,-0.0223981849703705,0.0
-37.0999984741211,0.0379020511609269,0.0
-37.0,0.0740999948502576,0.0
-36.8999977111816,0.0371016125645838,0.0
-36.7999992370605,0.0174999972550722,0.0
-36.6999969482422,-0.0458989039907465,0.0
-36.5999984741211,-0.0072004945031949,0.0
-36.5,-0.0414000142081932,0.0
-36.3999977111816,-0.072999701500521,0.0
-36.2999992370605,-0.0791999900829978,0.0
-36.1999969482422,-0.0843002457659168,0.0
-36.0999984741211,-0.0765995792389731,0.0
-36.0,-0.0830999890822568,0.0
-35.8999977111816,-0.0858001817723562,0.0
-35.7999992370605,-0.114599998189078,0.0
-35.6999969482422,-0.102599883077346,0.0
-35.5999984741211,-0.0941996402762015,0.0
-35.5,-0.0891000142109988,0.0
-35.3999977111816,-0.0952001970763376,0.0
-35.2999992370605,-0.108599987077469,0.0
-35.1999969482422,-0.0964001087195356,0.0
-35.0999984741211,-0.117799573275988,0.0
-35.0,-0.121500004461268,0.0
-34.8999977111816,-0.108099967597809,0.0
-34.7999992370605,-0.108600000454317,0.0
-34.6999969482422,-0.112600051928894,0.0
-34.5999984741211,-0.118100059033168,0.0
-34.5,-0.117499998403218,0.0
-34.3999977111816,-0.113900081039901,0.0
-34.2999992370605,-0.114899997377506,0.0
-34.1999969482422,-0.108600196195766,0.0
-34.0999984741211,-0.107500251033343,0.0
-34.0,-0.115100005124987,0.0
-33.8999977111816,-0.124400012540718,0.0
-33.7999992370605,-0.130000002718589,0.0
-33.6999969482422,-0.129699925852037,0.0
-33.5999984741211,-0.127299787687662,0.0
-33.5,-0.12559999430232,0.0
-33.3999977111816,-0.121699947572779,0.0
-33.2999992370605,-0.117399998376641,0.0
-33.1999969482422,-0.118099973653443,0.0
-33.0999984741211,-0.119699975013646,0.0
-33.0,-0.121899994661362,0.0
-32.8999977111816,-0.122399972988205,0.0
