Time (s),Raw Response,Fitted Response
-39.5,0.736399994562817,0.0
-39.3999977111816,1.44394787864803,0.0
-39.2999992370605,-1.49960000357532,0.0
-39.1999969482422,-0.378388829347386,0.0
-39.0999984741211,0.209145722485118,0.0
-39.0,-1.58719998893866,0.0
-38.8999977111816,0.460402906035597,0.0
-38.7999992370605,0.0471999870314903,0.0
-38.6999969482422,-0.0163000996581104,0.0
-38.5999984741211,-0.0525002730355482,0.0
-38.5,-0.0710000040999148,0.0
-38.3999977111816,0.0872916684638767,0.0
-38.2999992370605,-0.201199991799513,0.0
-38.1999969482422,-0.0029042838068562,0.0
-38.0999984741211,-0.141103702731925,0.0
-38.0,-0.114200000287383,0.0
-37.8999977111816,-0.158101015756984,0.0
-37.7999992370605,0.0545000274651102,0.0
-37.6999969482422,0.0614186645507289,0.0
-37.5999984741211,0.567903285598732,0.0
-37.5,0.144099999430182,0.0
-37.3999977111816,0.193905821608496,0.0
-37.2999992370605,0.183399997138622,0.0
-37.1999969482422,0.0843033576966263,0.0
-37.0999984741211,-0.0290996639887453,0.0
-37.0,-0.0402000000103726,0.0
-36.8999977111816,-0.026001292240835,0.0
-36.7999992370605,-0.0581999997193634,0.0
-36.6999969482422,-0.0693999323084427,0.0
-36.5999984741211,-0.0544996708704275,0.0
-36.5,-0.015999998402549,0.0
-36.3999977111816,-0.0244004183768993,0.0
-36.2999992370605,-0.0362000010827614,0.0
-36.1999969482422,-0.0314011383197794,0.0
-36.0999984741211,-0.0346005959618196,0.0
-36.0,-0.0483999974603648,0.0
-35.8999977111816,-0.0566005166401737,0.0
-35.7999992370605,-0.0527000017973478,0.0
-35.6999969482422,-0.0512003895964881,0.0
-35.5999984741211,-0.0460000928760564,0.0
-35.5,-0.0585999993927544,0.0
-35.3999977111816,-0.069800046076125,0.0
-35.2999992370605,-0.0630999993336445,0.0
-35.1999969482422,-0.0563001659611473,0.0
-35.0999984741211,-0.0619999573209498,0.0
-35.0,-0.0640000023704488,0.0
-34.8999977111816,-0.0502002533175983,0.0
-34.7999992370605,-0.0567999958984728,0.0
-34.6999969482422,-0.0582998451973253,0.0
-34.5999984741211,-0.0634001466278278,0.0
-34.5,-0.0624000023344706,0.0
-34.3999977111816,-0.0449000423432153,0.0
-34.2999992370605,-0.0442000013608776,0.0
-34.1999969482422,-0.0448999312393425,0.0
-34.0999984741211,-0.0467997385494527,0.0
-34.0,-0.0424000017264916,0.0
-33.8999977111816,-0.0435000657089404,0.0
-33.7999992370605,-0.0409000067702436,0.0
-33.6999969482422,-0.0386999407382973,0.0
-33.5999984741211,-0.0357997588871513,0.0
-33.5,-0.026300000725314,0.0
-33.3999977111816,-0.0215999638567155,0.0
-33.2999992370605,-0.0236999990811455,0.0
-33.1999969482422,-0.0255000549550459,0.0
-33.0999984741211,-0.0298998717298673,0.0
-33.0,-0.0321000004405505,0.0
-32.8999977111816,-0.0347998368742992,0.0
-32.7999992370605,-0.0340999967447715,0.0
-32.6999969482422,-0.034600017406774,0.0
-32.5999984741211,-0.0358999439122272,0.0
-32.5,-0.0353000021714251,0.0
-32.3999977111816,-0.0313999669560872,0.0
-32.2999992370605,-0.0298999981132511,0.0
-32.1999969482422,-0.0318998267539428,0.0
-32.0999984741211,-0.0325000336997618,0.0
-31.9999980926514,-0.0343999950891885,0.0
-31.8999977111816,-0.0306999063577678,0.0
-31.7999992370605,-0.0233999700431013,0.0
-31.6999988555908,-0.0196999934196356,0.0
-31.5999984741211,-0.0183000073084258,0.0
-31.4999980926514,-0.0190999808874039,0.0
-31.3999977111816,-0.0191000161175907,0.0
-31.2999992370605,-0.0199999873257184,0.0
-31.1999988555908,-0.0183999812361435,0.0
-31.0999984741211,-0.0173000405047787,0.0
-30.9999980926514,-0.0182000164495548,0.0
-30.8999977111816,-0.0179000581010769,0.0
-30.7999992370605,-0.0180999957774475,0.0
-30.6999988555908,-0.01779999408609,0.0
-30.5999984741211,-0.016100020504382,0.0
-30.4999980926514,-0.018500025915273,0.0
-30.3999977111816,-0.0184000685803767,0.0
-30.2999992370605,-0.0210000617953483,0.0
-30.1999988555908,-0.0238999876128219,0.0
-30.0999984741211,-0.0234000262244081,0.0
-29.9999980926514,-0.0273999869314139,0.0
-29.8999977111816,-0.0265000851504738,0.0
-29.7999992370605,-0.030200004875951,0.0
-29.6999988555908,-0.0295000265468843,0.0
-29.5999984741211,-0.0312000038502447,0.0
-29.4999980926514,-0.0313000221394759,0.0
-29.3999977111816,-0.0327001633522741,0.0
-29.2999992370605,-0.0363000034813012,0.0
-29.1999988555908,-0.0381000200759445,0.0
-29.0999984741211,-0.0443000088926055,0.0
-28.9999980926514,-0.0455999933110434,0.0
-28.8999977111816,-0.0424000031343894,0.0
-28.7999992370605,-0.0454000569807249,0.0
-28.6999988555908,-0.0505000224220566,0.0
-28.5999984741211,-0.0507999607798411,0.0
-28.4999980926514,-0.0497999882209115,0.0
-28.3999977111816,-0.0472000491863582,0.0
-28.2999992370605,-0.0488998981345503,0.0
-28.1999988555908,-0.0448999723303132,0.0
-28.0999984741211,-0.0414999841923418,0.0
-27.9999980926514,-0.0387000119699223,0.0
-27.8999977111816,-0.0404000353337324,0.0
-27.7999992370605,-0.0372999628525577,0.0
-27.6999988555908,-0.0322000722517259,0.0
-27.5999984741211,-0.0363999296569091,0.0
-27.4999980926514,-0.0310000549798133,0.0
-27.3999977111816,-0.0345000966190128,0.0
-27.2999992370605,-0.0356999916184577,0.0
-27.1999988555908,-0.0325000112643465,0.0
-27.0999984741211,-0.0321999692678219,0.0
-26.9999980926514,-0.0295000356563833,0.0
-26.8999977111816,-0.0310999858593277,0.0
-26.7999992370605,-0.0304000163450837,0.0
-26.6999988555908,-0.0279999794220203,0.0
-26.5999984741211,-0.0277000295500329,0.0
-26.4999980926514,-0.0291000417346368,0.0
-26.3999977111816,-0.0302000159863383,0.0
-26.2999992370605,-0.0328000525587413,0.0
-26.1999988555908,-0.034000007162831,0.0
-26.0999984741211,-0.0368000156267954,0.0
-25.9999980926514,-0.0369000027531001,0.0
-25.8999977111816,-0.0376000657415716,0.0
-25.7999992370605,-0.0403000125625113,0.0
-25.6999988555908,-0.0442000633593125,0.0
-25.5999984741211,-0.0498000223633426,0.0
-25.4999980926514,-0.0524000054210774,0.0
-25.3999977111816,-0.0521000311600801,0.0
-25.2999992370605,-0.05350004470165,0.0
-25.1999988555908,-0.0550000206458208,0.0
-25.0999984741211,-0.0557999596821901,0.0
-24.9999980926514,-0.049899929214007,0.0
-24.8999977111816,-0.0477999170434487,0.0
-24.7999992370605,-0.0476999543061538,0.0
-24.6999988555908,-0.0485999434822588,0.0
-24.5999984741211,-0.0460999672031903,0.0
-24.4999980926514,-0.0476000037888298,0.0
-24.3999977111816,-0.0489000386733096,0.0
-24.2999992370605,-0.0517999678850174,0.0
-24.1999988555908,-0.047799987194594,0.0
-24.0999984741211,-0.0480999621395313,0.0
-23.9999980926514,-0.0505999506349326,0.0
-23.8999977111816,-0.0471999438741477,0.0
-23.7999992370605,-0.0458000021317275,0.0
-23.6999988555908,-0.0444999625105993,0.0
-23.5999984741211,-0.0411999618409027,0.0
-23.4999980926514,-0.038999966931442,0.0
-23.3999977111816,-0.0376000986798317,0.0
-23.2999992370605,-0.0384999994384998,0.0
-23.1999988555908,-0.0376000035030302,0.0
-23.0999984741211,-0.0411000234817038,0.0
-22.9999980926514,-0.0432000322798558,0.0
-22.8999977111816,-0.0493001098257082,0.0
-22.7999992370605,-0.052000008210598,0.0
-22.6999988555908,-0.0482000132906251,0.0
-22.5999984741211,-0.0462999936426058,0.0
-22.4999980926514,-0.0499001301286626,0.0
-22.3999977111816,-0.0569001666663098,0.0
-22.2999992370605,-0.0597001351452491,0.0
-22.1999988555908,-0.0695001584754209,0.0
-22.0999984741211,-0.0788000405773346,0.0
-21.9999980926514,-0.0858001225242333,0.0
-21.8999977111816,-0.0864001780282706,0.0
-21.7999992370605,-0.0876000753887638,0.0
-21.6999988555908,-0.089700098396861,0.0
-21.5999984741211,-0.0974999364843825,0.0
-21.4999980926514,-0.100999835922266,0.0
-21.3999977111816,-0.0946999338375463,0.0
-21.2999992370605,-0.0998999778748839,0.0
-21.1999988555908,-0.102499916243687,0.0
-21.0999984741211,-0.10549996266127,0.0
-20.9999980926514,-0.103899913905479,0.0
-20.8999977111816,-0.104099915624829,0.0
-20.7999992370605,-0.101499919699563,0.0
-20.6999988555908,-0.101599759196688,0.0
-20.5999984741211,-0.0951998347882181,0.0
-20.4999980926514,-0.0916997711647127,0.0
-20.3999977111816,-0.0867996293272881,0.0
-20.2999992370605,-0.086999874911271,0.0
-20.1999988555908,-0.0859997557381575,0.0
-20.0999984741211,-0.0747998445403937,0.0
-19.9999980926514,-0.0661998787873017,0.0
-19.8999977111816,-0.0635998449579347,0.0
-19.7999992370605,-0.0613998910375813,0.0
