Run 1; Ch 6; Fc 2-1; Cy 5; W3; Conc 3.125 6.25 12.5 25 50 nM_X 	Run 1; Ch 6; Fc 2-1; Cy 5; W3; Conc 3.125 6.25 12.5 25 50 nM_Y 	Run 1; Ch 6; Fc 2-1; Cy 5; W3; Conc 3.125 6.25 12.5 25 50 nM; Fitted_X 	Run 1; Ch 6; Fc 2-1; Cy 5; W3; Conc 3.125 6.25 12.5 25 50 nM; Fitted_Y 	
-39.5 	-1.34959994811652 	-39.5 	0 	
-39.3999977111816 	0.751299105075304 	-39.3999977111816 	0 	
-39.2999992370605 	1.23220001011214 	-39.2999992370605 	0 	
-39.1999969482422 	-0.101756821532035 	-39.1999969482422 	0 	
-39.0999984741211 	0.960196805004671 	-39.0999984741211 	0 	
-39 	0.440400002436945 	-39 	0 	
-38.8999977111816 	-0.610701379511738 	-38.8999977111816 	0 	
-38.7999992370605 	-0.0932000012981007 	-38.7999992370605 	0 	
-38.6999969482422 	0.0340014839712239 	-38.6999969482422 	0 	
-38.5999984741211 	0.073000665546715 	-38.5999984741211 	0 	
-38.5 	0.100500006414222 	-38.5 	0 	
-38.3999977111816 	0.171802651362668 	-38.3999977111816 	0 	
-38.2999992370605 	0.260200008062384 	-38.2999992370605 	0 	
-38.1999969482422 	0.465199133781425 	-38.1999969482422 	0 	
-38.0999984741211 	0.478798482992715 	-38.0999984741211 	0 	
-38 	0.424700021081662 	-38 	0 	
-37.8999977111816 	0.28569895821056 	-37.8999977111816 	0 	
-37.7999992370605 	0.403800014308217 	-37.7999992370605 	0 	
-37.6999969482422 	0.4149057041177 	-37.6999969482422 	0 	
-37.5999984741211 	0.583191580393759 	-37.5999984741211 	0 	
-37.5 	0.20829999194757 	-37.5 	0 	
-37.3999977111816 	0.525204617457348 	-37.3999977111816 	0 	
-37.2999992370605 	0.524000016408536 	-37.2999992370605 	0 	
-37.1999969482422 	0.471299357228418 	-37.1999969482422 	0 	
-37.0999984741211 	0.35219758272433 	-37.0999984741211 	0 	
-37 	0.307499976734107 	-37 	0 	
-36.8999977111816 	0.228699250128557 	-36.8999977111816 	0 	
-36.7999992370605 	0.254699987843196 	-36.7999992370605 	0 	
-36.6999969482422 	0.221497885228018 	-36.6999969482422 	0 	
-36.5999984741211 	0.167798043348739 	-36.5999984741211 	0 	
-36.5 	0.165700011257286 	-36.5 	0 	
-36.3999977111816 	0.0989968320427579 	-36.3999977111816 	0 	
-36.2999992370605 	0.0581999949245073 	-36.2999992370605 	0 	
-36.1999969482422 	0.0261982464580797 	-36.1999969482422 	0 	
-36.0999984741211 	0.0364975199372566 	-36.0999984741211 	0 	
-36 	0.020299999810959 	-36 	0 	
-35.8999977111816 	0.0012978103623027 	-35.8999977111816 	0 	
-35.7999992370605 	-0.0196999985164439 	-35.7999992370605 	0 	
-35.6999969482422 	-0.0239009969918698 	-35.6999969482422 	0 	
-35.5999984741211 	-0.00660126168440911 	-35.5999984741211 	0 	
-35.5 	0.000299999337585177 	-35.5 	0 	
-35.3999977111816 	-0.0095009633259906 	-35.3999977111816 	0 	
-35.2999992370605 	-0.00510000240683439 	-35.2999992370605 	0 	
-35.1999969482422 	-0.0120008177254931 	-35.1999969482422 	0 	
-35.0999984741211 	-0.0214004745466809 	-35.0999984741211 	0 	
-35 	-0.0184000023837143 	-35 	0 	
-34.8999977111816 	-0.021300596283254 	-34.8999977111816 	0 	
-34.7999992370605 	-0.0233999927004334 	-34.7999992370605 	0 	
-34.6999969482422 	-0.0287004555684689 	-34.6999969482422 	0 	
-34.5999984741211 	-0.0245007017110765 	-34.5999984741211 	0 	
-34.5 	-0.0281999999024265 	-34.5 	0 	
-34.3999977111816 	-0.0261003469895513 	-34.3999977111816 	0 	
-34.2999992370605 	-0.0288000059081241 	-34.2999992370605 	0 	
-34.1999969482422 	-0.0299004163243808 	-34.1999969482422 	0 	
-34.0999984741211 	-0.0371003972977633 	-34.0999984741211 	0 	
-34 	-0.0404000070993789 	-34 	0 	
-33.8999977111816 	-0.0363002478552517 	-33.8999977111816 	0 	
-33.7999992370605 	-0.0423000117734773 	-33.7999992370605 	0 	
-33.6999969482422 	-0.0479003507098241 	-33.6999969482422 	0 	
-33.5999984741211 	-0.0493003178089566 	-33.5999984741211 	0 	
-33.5 	-0.0517999929870712 	-33.5 	0 	
