UV_280_X (Vol),UV_280_Y (Abs),UV_260_X (Vol),UV_260_Y (Abs)
0.166283,-2.876557,1.046815,-26.612396
0.167446,-2.856271,1.05263,-26.615664
0.168609,-2.834289,1.058446,-26.621805
0.169771,-2.812577,1.064261,-26.62677
0.170934,-2.79249,1.070077,-26.62875
0.172097,-2.772434,1.075893,-26.631145
0.17326,-2.752135,1.081708,-26.635626
0.174423,-2.731192,1.087524,-26.639112
0.175586,-2.712559,1.09334,-26.642908
0.176748,-2.695411,1.099155,-26.648426
0.177911,-2.678305,1.104971,-26.653389
0.179074,-2.660437,1.110787,-26.654942
0.180237,-2.639318,1.116602,-26.65679
0.1814,-2.621237,1.122418,-26.660706
0.182562,-2.603419,1.128233,-26.664997
0.183725,-2.585645,1.134049,-26.672174
0.184888,-2.567567,1.139865,-26.679846
0.186051,-2.549128,1.14568,-26.68321
0.187214,-2.533162,1.151496,-26.68564
0.188377,-2.51717,1.157312,-26.689615
0.189539,-2.501163,1.163127,-26.687607
0.190702,-2.484355,1.168943,-26.684484
0.191865,-2.466025,1.174759,-26.683395
0.193028,-2.449341,1.180574,-26.683146
0.194191,-2.432713,1.18639,-26.683857
0.195353,-2.42987,1.192205,-26.687563
0.196516,-2.613942,1.198021,-26.690304
0.197679,-3.456458,1.203837,-26.692337
0.198842,-4.299705,1.209652,-26.691051
0.200005,-5.140518,1.215468,-26.691483
0.201168,-5.98394,1.221284,-26.692675
0.20233,-6.827723,1.227099,-26.695679
0.203493,-7.672359,1.232915,-26.701412
0.204656,-8.514119,1.238731,-26.710066
0.205819,-9.357785,1.244546,-26.713207
0.206982,-10.199148,1.250362,-26.71681
0.208144,-11.041985,1.256177,-26.715885
0.209307,-11.889359,1.261993,-26.718296
0.21047,-12.737604,1.267809,-26.717663
0.211633,-13.585622,1.273624,-26.717785
0.212796,-14.435559,1.27944,-26.716066
0.213959,-15.284202,1.285256,-26.720905
0.215121,-16.134359,1.291071,-26.721319
0.216284,-16.979872,1.296887,-26.722816
0.217447,-17.795622,1.302703,-26.727327
0.21861,-18.5452,1.308518,-26.733276
0.219773,-19.363813,1.314334,-26.735125
0.220935,-20.219034,1.320149,-26.737644
0.222098,-21.072569,1.325965,-26.741735
0.223261,-21.924763,1.331781,-26.743608
0.224424,-22.779524,1.337596,-26.742826
0.225587,-23.550877,1.343412,-26.745176
0.226749,-23.565496,1.349228,-26.749685
0.227912,-23.564308,1.355043,-26.748468
0.229075,-23.56312,1.360859,-26.747137
0.230238,-23.562176,1.366675,-26.749411
0.231401,-23.561996,1.37249,-26.749973
0.232564,-23.56373,1.378306,-26.745636
0.233726,-23.565504,1.384121,-26.74682
0.234889,-23.567274,1.389937,-26.747875
0.236052,-23.568867,1.395753,-26.752235
0.237215,-23.57023,1.401568,-26.754683
0.238378,-23.571455,1.407384,-26.756453
0.23954,-23.572676,1.4132,-26.760248
0.240703,-23.573898,1.419015,-26.767475
0.241866,-23.575863,1.424831,-26.768047
0.243029,-23.577839,1.430647,-26.770048
0.244192,-23.579727,1.436462,-26.773499
0.245355,-23.581617,1.442278,-26.775925
0.246517,-23.583534,1.448093,-26.776098
0.24768,-23.585562,1.453909,-26.776419
0.248843,-23.587547,1.459725,-26.777704
0.250006,-23.589537,1.46554,-26.778128
0.251169,-23.591513,1.471356,-26.777905
0.252331,-23.593241,1.477172,-26.776403
0.253494,-23.593954,1.482987,-26.776314
0.254657,-23.594263,1.488803,-26.77639
0.25582,-23.594566,1.494619,-26.780439
0.256983,-23.594883,1.500434,-26.78454
0.258146,-23.596239,1.50625,-26.787769
0.259308,-23.598074,1.512065,-26.794476
0.260471,-23.599335,1.517881,-26.797813
0.261634,-23.600592,1.523697,-26.797382
0.262797,-23.60186,1.529512,-26.798283
0.26396,-23.604025,1.535328,-26.801199
0.265123,-23.606468,1.541144,-26.798668
0.266285,-23.608982,1.546959,-26.798145
0.267448,-23.6115,1.552775,-26.798018
0.268611,-23.614063,1.558591,-26.797598
0.269774,-23.616756,1.564406,-26.797613
0.270937,-23.618597,1.570222,-26.798456
0.272099,-23.620251,1.576037,-26.79812
0.273262,-23.622042,1.581853,-26.79999
0.274425,-23.624277,1.587669,-26.802917
0.275588,-23.626974,1.593484,-26.807268
0.276751,-23.629644,1.5993,-26.812288
0.277913,-23.632292,1.605116,-26.81637
0.279076,-23.634941,1.610931,-26.818743
0.280239,-23.637438,1.616747,-26.820221
0.281402,-23.6399,1.622563,-26.821054
0.282565,-23.643181,1.628378,-26.818586
0.283728,-23.64662,1.634194,-26.819361
0.28489,-23.650064,1.640009,-26.819883
0.286053,-23.653082,1.645825,-26.817507
0.287216,-23.654829,1.651641,-26.8188
0.288379,-23.655767,1.657456,-26.822857
0.289542,-23.656591,1.663272,-26.824017
0.290704,-23.657417,1.669088,-26.829365
0.291867,-23.659941,1.674903,-26.834654
0.29303,-23.662226,1.680719,-26.836733
0.294193,-23.664316,1.686535,-26.839905
0.295356,-23.666397,1.69235,-26.845028
0.296519,-23.668472,1.698166,-26.849382
0.297681,-23.670237,1.703981,-26.85207
0.298844,-23.671797,1.709797,-26.851673
0.300007,-23.673332,1.715613,-26.853127
0.30117,-23.674873,1.721428,-26.856768
0.302333,-23.676409,1.727244,-26.855738
0.303495,-23.677191,1.73306,-26.853701
0.304658,-23.677446,1.738875,-26.855377
0.305821,-23.677633,1.744691,-26.860025
0.306984,-23.67782,1.750507,-26.863007
0.308147,-23.678005,1.756322,-26.866953
0.30931,-23.67873,1.762138,-26.875225
0.310472,-23.679766,1.767953,-26.880064
0.311635,-23.680841,1.773769,-26.879496
0.312798,-23.681913,1.779585,-26.879776
0.313961,-23.683104,1.7854,-26.877537
0.315124,-23.685209,1.791216,-26.876604
0.316286,-23.687748,1.797032,-26.882681
0.317449,-23.690334,1.802847,-26.883617
0.318612,-23.692917,1.808663,-26.882765
0.319775,-23.69491,1.814479,-26.888498
0.320938,-23.694643,1.820294,-26.890656
0.322101,-23.693863,1.82611,-26.889565
0.323263,-23.693052,1.831926,-26.885883
0.324426,-23.692303,1.837741,-26.887781
0.325589,-23.691978,1.843557,-26.887785
0.326752,-23.692232,1.849372,-26.88912
0.327915,-23.69273,1.855188,-26.889624
0.329077,-23.693237,1.861004,-26.900957
0.33024,-23.693747,1.866819,-26.903746
0.331403,-23.694447,1.872635,-26.905863
0.332566,-23.695572,1.878451,-26.913204
0.333729,-23.696856,1.884266,-26.919746
0.334892,-23.698141,1.890082,-26.922281
0.336054,-23.699362,1.895898,-26.928885
0.337217,-23.699984,1.901713,-26.932766
0.33838,-23.700035,1.907529,-26.932503
0.339543,-23.699944,1.913344,-26.934298
0.340706,-23.69985,1.91916,-26.937021
0.341868,-23.699825,1.924976,-26.94014
0.343031,-23.699896,1.930791,-26.940207
0.344194,-23.699629,1.936607,-26.940632
0.345357,-23.6992,1.942423,-26.942572
0.34652,-23.698769,1.948238,-26.941357
0.347683,-23.698109,1.954054,-26.939692
0.348845,-23.697483,1.95987,-26.947359
0.350008,-23.697237,1.965685,-26.955278
0.351171,-23.697134,1.971501,-26.955784
0.352334,-23.697029,1.977316,-26.955965
0.353497,-23.694466,1.983132,-26.958208
0.354659,-23.687944,1.988948,-26.955923
0.355822,-23.679937,1.994763,-26.953041
0.356985,-23.671808,2.000579,-26.956297
0.358148,-23.663713,2.006395,-26.959099
0.359311,-23.652884,2.01221,-26.963163
0.360474,-23.638823,2.018026,-26.968565
0.361636,-23.62384,2.023841,-26.974072
0.362799,-23.60887,2.029657,-26.976843
0.363962,-23.593971,2.035473,-26.983068
0.365125,-23.576502,2.041288,-26.988476
0.366288,-23.556784,2.047104,-26.992044
0.36745,-23.53651,2.05292,-26.995476
0.368613,-23.516287,2.058735,-26.999958
0.369776,-23.496023,2.064551,-27.005404
0.370939,-23.47233,2.070367,-27.007694
0.372102,-23.447193,2.076182,-27.010031
0.373265,-23.421944,2.081998,-27.012083
0.374427,-23.396719,2.087813,-27.013613
0.37559,-23.37154,2.093629,-27.017174
0.376753,-23.342997,2.099445,-27.020397
0.377916,-23.315182,2.10526,-27.021605
0.379079,-23.28734,2.111076,-27.022177
0.380241,-23.257927,2.116892,-27.022726
0.381404,-23.227644,2.122707,-27.021132
0.382567,-23.203949,2.128523,-27.01729
0.38373,-23.187868,2.134339,-27.018675
0.384893,-23.173431,2.140154,-27.025249
0.386056,-23.158991,2.14597,-27.030802
0.387218,-23.143555,2.151785,-27.037117
0.388381,-23.125465,2.157601,-27.042456
0.389544,-23.107227,2.163417,-27.047773
0.390707,-23.090149,2.169232,-27.050947
0.39187,-23.073059,2.175048,-27.055302
0.393032,-23.053175,2.180864,-27.0562
0.394195,-23.026398,2.186679,-27.061382
0.395358,-22.997129,2.192495,-27.064833
0.396521,-22.968964,2.198311,-27.068125
0.397684,-22.940796,2.204126,-27.070377
0.398847,-22.914957,2.209942,-27.074884
0.400009,-22.895866,2.215757,-27.080526
0.401172,-22.880735,2.221573,-27.085718
0.402335,-22.865623,2.227389,-27.08709
