Time (s),Raw Response,Fitted Response
-39.5,1.41499999380176,0.0
-39.3999977111816,1.85913797035028,0.0
-39.2999992370605,-1.92259996223584,0.0
-39.1999969482422,0.725879559704481,0.0
-39.0999984741211,-0.484049153281376,0.0
-39.0,-1.35219999380206,0.0
-38.8999977111816,0.183103909017518,0.0
-38.7999992370605,-0.0603000200280803,0.0
-38.6999969482422,-0.0076002211535524,0.0
-38.5999984741211,-0.0679982131950965,0.0
-38.5,-0.0401999809255358,0.0
-38.3999977111816,0.04098828811766,0.0
-38.2999992370605,-0.422699991129775,0.0
-38.1999969482422,-0.12870552215827,0.0
-38.0999984741211,-0.300908178520331,0.0
-38.0,-0.384600055884221,0.0
-37.8999977111816,-0.264416422844079,0.0
-37.7999992370605,-0.525200012969435,0.0
-37.6999969482422,0.804201418875891,0.0
-37.5999984741211,-0.0214948617940536,0.0
-37.5,0.0418999860776239,0.0
-37.3999977111816,0.163208116675378,0.0
-37.2999992370605,0.0947000031956122,0.0
-37.1999969482422,0.0793014368537115,0.0
-37.0999984741211,0.0150995584263001,0.0
-37.0,0.0029000061986153,0.0
-36.8999977111816,0.0134002312915982,0.0
-36.7999992370605,-0.0164000064869469,0.0
-36.6999969482422,0.0060983212242717,0.0
-36.5999984741211,-0.023800497281627,0.0
-36.5,-0.0333999963258975,0.0
-36.3999977111816,-0.0082007020573655,0.0
-36.2999992370605,-0.0281000002505607,0.0
-36.1999969482422,-0.073300702002598,0.0
-36.0999984741211,-0.0766008924001653,0.0
-36.0,-0.0746000004874077,0.0
-35.8999977111816,-0.0521004534712119,0.0
-35.7999992370605,-0.0660000011266675,0.0
-35.6999969482422,-0.040100037407683,0.0
-35.5999984741211,-0.0431000021781074,0.0
-35.5,-0.0287000001480919,0.0
-35.3999977111816,-0.0463005531782983,0.0
-35.2999992370605,-0.0647000014178047,0.0
-35.1999969482422,-0.0518999225314474,0.0
-35.0999984741211,-0.0578998700511875,0.0
-35.0,-0.0632999987610674,0.0
-34.8999977111816,-0.0688999641424743,0.0
-34.7999992370605,-0.07300000106261,0.0
-34.6999969482422,-0.0612003390779137,0.0
-34.5999984741211,-0.0599997893805266,0.0
-34.5,-0.055800001751777,0.0
-34.3999977111816,-0.0504001149056421,0.0
-34.2999992370605,-0.0507000017787504,0.0
-34.1999969482422,-0.0379001084875199,0.0
-34.0999984741211,-0.0399001000041608,0.0
-34.0,-0.0526999987305317,0.0
-33.8999977111816,-0.0454999228895758,0.0
-33.7999992370605,-0.0401000007914263,0.0
-33.6999969482422,-0.0366000631074712,0.0
-33.5999984741211,-0.0401999391469872,0.0
-33.5,-0.031000001468783,0.0
-33.3999977111816,-0.0329000976489624,0.0
-33.2999992370605,-0.0372000001007109,0.0
-33.1999969482422,-0.0410999916239234,0.0
-33.0999984741211,-0.0445000664694817,0.0
-33.0,-0.0470999983881484,0.0
-32.8999977111816,-0.0434000034802011,0.0
-32.7999992370605,-0.0439000014484918,0.0
-32.6999969482422,-0.044199949981703,0.0
-32.5999984741211,-0.0471999279725424,0.0
-32.5,-0.0473000001184118,0.0
-32.3999977111816,-0.0458000438047748,0.0
-32.2999992370605,-0.0468999990953307,0.0
-32.1999969482422,-0.0451999882498058,0.0
-32.0999984741211,-0.0416999496483186,0.0
-31.9999980926514,-0.0427999835192168,0.0
-31.8999977111816,-0.0395999550746637,0.0
-31.7999992370605,-0.0375999794669042,0.0
-31.6999988555908,-0.0378999720196589,0.0
-31.5999984741211,-0.0365000509373203,0.0
-31.4999980926514,-0.043000092915463,0.0
-31.3999977111816,-0.0482000715564936,0.0
-31.2999992370605,-0.0488000403856859,0.0
-31.1999988555908,-0.0493000590031443,0.0
-31.0999984741211,-0.0508000129266293,0.0
-30.9999980926514,-0.049600000733335,0.0
-30.8999977111816,-0.0488998777982488,0.0
-30.7999992370605,-0.0412999800937541,0.0
-30.6999988555908,-0.0404999763704836,0.0
-30.5999984741211,-0.0413000566441042,0.0
-30.4999980926514,-0.0403000738988339,0.0
-30.3999977111816,-0.0371001212915871,0.0
-30.2999992370605,-0.0366999631150975,0.0
-30.1999988555908,-0.0320999756550009,0.0
-30.0999984741211,-0.0313999776954006,0.0
-29.9999980926514,-0.0275999946352385,0.0
-29.8999977111816,-0.0269999783813546,0.0
-29.7999992370605,-0.027299979399686,0.0
-29.6999988555908,-0.026599960780004,0.0
-29.5999984741211,-0.0239999455516227,0.0
-29.4999980926514,-0.0234000024611305,0.0
-29.3999977111816,-0.0283001047391735,0.0
