Run 1; Ch 3; Fc 2-1; Cy 5; W8; Conc 3.125 6.25 12.5 25 50 nM_X 	Run 1; Ch 3; Fc 2-1; Cy 5; W8; Conc 3.125 6.25 12.5 25 50 nM_Y 	Run 1; Ch 3; Fc 2-1; Cy 5; W8; Conc 3.125 6.25 12.5 25 50 nM; Fitted_X 	Run 1; Ch 3; Fc 2-1; Cy 5; W8; Conc 3.125 6.25 12.5 25 50 nM; Fitted_Y 	
-39.5 	-0.787099993514857 	-39.5 	0 	
-39.3999977111816 	1.30210958108728 	-39.3999977111816 	0 	
-39.2999992370605 	0.137499999804277 	-39.2999992370605 	0 	
-39.1999969482422 	0.0833266906265635 	-39.1999969482422 	0 	
-39.0999984741211 	0.799681985045027 	-39.0999984741211 	0 	
-39 	-0.258400000617257 	-39 	0 	
-38.8999977111816 	-0.0984010163811035 	-38.8999977111816 	0 	
-38.7999992370605 	0.00580000686750282 	-38.7999992370605 	0 	
-38.6999969482422 	0.0148993546245038 	-38.6999969482422 	0 	
-38.5999984741211 	-0.0171012758728466 	-38.5999984741211 	0 	
-38.5 	-0.0301999968978635 	-38.5 	0 	
-38.3999977111816 	-0.0456958657741779 	-38.3999977111816 	0 	
-38.2999992370605 	0.0803000036503363 	-38.2999992370605 	0 	
-38.1999969482422 	-0.0566999398943153 	-38.1999969482422 	0 	
-38.0999984741211 	-0.00509887142106891 	-38.0999984741211 	0 	
-38 	0.0244000071070332 	-38 	0 	
-37.8999977111816 	0.0943991892818303 	-37.8999977111816 	0 	
-37.7999992370605 	0.122100004220556 	-37.7999992370605 	0 	
-37.6999969482422 	0.14439411897547 	-37.6999969482422 	0 	
-37.5999984741211 	0.00730144948829548 	-37.5999984741211 	0 	
-37.5 	0.00700000996585004 	-37.5 	0 	
-37.3999977111816 	-0.1018984822731 	-37.3999977111816 	0 	
-37.2999992370605 	0.0490999975918385 	-37.2999992370605 	0 	
-37.1999969482422 	-0.00349748153894325 	-37.1999969482422 	0 	
-37.0999984741211 	-0.0214009836672631 	-37.0999984741211 	0 	
-37 	-0.119100004791107 	-37 	0 	
-36.8999977111816 	-0.0924987473008514 	-36.8999977111816 	0 	
-36.7999992370605 	-0.0515999951130652 	-36.7999992370605 	0 	
-36.6999969482422 	-0.0603983644978143 	-36.6999969482422 	0 	
-36.5999984741211 	-0.0550986475100217 	-36.5999984741211 	0 	
-36.5 	-0.0403999986301642 	-36.5 	0 	
-36.3999977111816 	-0.0392995753645664 	-36.3999977111816 	0 	
-36.2999992370605 	-0.0555999984135269 	-36.2999992370605 	0 	
-36.1999969482422 	-0.0983005404377764 	-36.1999969482422 	0 	
-36.0999984741211 	-0.104199663219333 	-36.0999984741211 	0 	
-36 	-0.0878999985434348 	-36 	0 	
-35.8999977111816 	-0.11340030700012 	-35.8999977111816 	0 	
-35.7999992370605 	-0.111800002836389 	-35.7999992370605 	0 	
-35.6999969482422 	-0.0956996473069012 	-35.6999969482422 	0 	
-35.5999984741211 	-0.0884996463428251 	-35.5999984741211 	0 	
-35.5 	-0.0669000030065945 	-35.5 	0 	
-35.3999977111816 	-0.0827000785211567 	-35.3999977111816 	0 	
-35.2999992370605 	-0.0921000006201211 	-35.2999992370605 	0 	
-35.1999969482422 	-0.0770002560020657 	-35.1999969482422 	0 	
-35.0999984741211 	-0.0846000507372082 	-35.0999984741211 	0 	
-35 	-0.0856999982388515 	-35 	0 	
-34.8999977111816 	-0.0658997879836534 	-34.8999977111816 	0 	
-34.7999992370605 	-0.0740000003570458 	-34.7999992370605 	0 	
-34.6999969482422 	-0.0673996813893609 	-34.6999969482422 	0 	
-34.5999984741211 	-0.0654996397788636 	-34.5999984741211 	0 	
-34.5 	-0.0602999984766939 	-34.5 	0 	
-34.3999977111816 	-0.0661998385985498 	-34.3999977111816 	0 	
-34.2999992370605 	-0.058499998467596 	-34.2999992370605 	0 	
-34.1999969482422 	-0.0601996332297858 	-34.1999969482422 	0 	
-34.0999984741211 	-0.0538000574561011 	-34.0999984741211 	0 	
-34 	-0.0549000008941221 	-34 	0 	
-33.8999977111816 	-0.039999992459343 	-33.8999977111816 	0 	
-33.7999992370605 	-0.0364000002482499 	-33.7999992370605 	0 	
-33.6999969482422 	-0.0351999691192759 	-33.6999969482422 	0 	
-33.5999984741211 	-0.0398002750189335 	-33.5999984741211 	0 	
-33.5 	-0.0401999992245692 	-33.5 	0 	
-33.3999977111816 	-0.0502002786051889 	-33.3999977111816 	0 	
-33.2999992370605 	-0.0608999998439685 	-33.2999992370605 	0 	
-33.1999969482422 	-0.0637000262395304 	-33.1999969482422 	0 	
-33.0999984741211 	-0.0600999747584865 	-33.0999984741211 	0 	
-33 	-0.0516000001589418 	-33 	0 	
-32.8999977111816 	-0.0408999811988906 	-32.8999977111816 	0 	
-32.7999992370605 	-0.0358999988129654 	-32.7999992370605 	0 	
-32.6999969482422 	-0.0355001600146352 	-32.6999969482422 	0 	
-32.5999984741211 	-0.0384001268030261 	-32.5999984741211 	0 	
-32.5 	-0.0417000001252745 	-32.5 	0 	
-32.3999977111816 	-0.0384000573576486 	-32.3999977111816 	0 	
-32.2999992370605 	-0.0370000007933413 	-32.2999992370605 	0 	
-32.1999969482422 	-0.0336999710016244 	-32.1999969482422 	0 	
-32.0999984741211 	-0.0301998866780195 	-32.0999984741211 	0 	
-31.9999980926514 	-0.0257999513814866 	-31.9999980926514 	0 	
-31.8999977111816 	-0.0198999967724376 	-31.8999977111816 	0 	
-31.7999992370605 	-0.0179000360585633 	-31.7999992370605 	0 	
-31.6999988555908 	-0.0155999825437902 	-31.6999988555908 	0 	
-31.5999984741211 	-0.014300067890872 	-31.5999984741211 	0 	
-31.4999980926514 	-0.0148000265508017 	-31.4999980926514 	0 	
-31.3999977111816 	-0.0146001098546549 	-31.3999977111816 	0 	
-31.2999992370605 	-0.015400021111418 	-31.2999992370605 	0 	
-31.1999988555908 	-0.0138000712249777 	-31.1999988555908 	0 	
-31.0999984741211 	-0.0182000535933184 	-31.0999984741211 	0 	
-30.9999980926514 	-0.0204000004086993 	-30.9999980926514 	0 	
-30.8999977111816 	-0.0182999350472528 	-30.8999977111816 	0 	
-30.7999992370605 	-0.0129999919518013 	-30.7999992370605 	0 	
-30.6999988555908 	-0.00750001328924554 	-30.6999988555908 	0 	
-30.5999984741211 	-0.00540007356903516 	-30.5999984741211 	0 	
-30.4999980926514 	-0.00880005018188967 	-30.4999980926514 	0 	
-30.3999977111816 	-0.0101998872705735 	-30.3999977111816 	0 	
