Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM_X 	Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM_Y 	Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM; Fitted_X 	Run 1; Ch 6; Fc 2-1; Cy 5; W5; Conc 3.125 6.25 12.5 25 50 nM; Fitted_Y 	
-22.8999977111816 	-0.0245999668477452 	-22.8999977111816 	0 	
-22.7999992370605 	-0.0232001341537398 	-22.7999992370605 	0 	
-22.6999988555908 	-0.0263000308223127 	-22.6999988555908 	0 	
-22.5999984741211 	-0.0289000037191727 	-22.5999984741211 	0 	
-22.4999980926514 	-0.0277999624049698 	-22.4999980926514 	0 	
-22.3999977111816 	-0.0217999583510391 	-22.3999977111816 	0 	
-22.2999992370605 	-0.0212000105093466 	-22.2999992370605 	0 	
-22.1999988555908 	-0.0220000674016774 	-22.1999988555908 	0 	
-22.0999984741211 	-0.0248999644318246 	-22.0999984741211 	0 	
-21.9999980926514 	-0.025000034882396 	-21.9999980926514 	0 	
-21.8999977111816 	-0.0275001283407619 	-21.8999977111816 	0 	
-21.7999992370605 	-0.0345001039386261 	-21.7999992370605 	0 	
-21.6999988555908 	-0.0452999420303968 	-21.6999988555908 	0 	
-21.5999984741211 	-0.0486999342574563 	-21.5999984741211 	0 	
-21.4999980926514 	-0.0479997483525949 	-21.4999980926514 	0 	
-21.3999977111816 	-0.0428995506408683 	-21.3999977111816 	0 	
-21.2999992370605 	-0.0394001332060725 	-21.2999992370605 	0 	
-21.1999988555908 	-0.0518001622913289 	-21.1999988555908 	0 	
-21.0999984741211 	-0.0752001981454669 	-21.0999984741211 	0 	
-20.9999980926514 	-0.0812002272141399 	-20.9999980926514 	0 	
-20.8999977111816 	-0.0820005312707508 	-20.8999977111816 	0 	
-20.7999992370605 	-0.0795002094637312 	-20.7999992370605 	0 	
-20.6999988555908 	-0.0754001887435152 	-20.6999988555908 	0 	
-20.5999984741211 	-0.0687001270525798 	-20.5999984741211 	0 	
-20.4999980926514 	-0.0618000782487798 	-20.4999980926514 	0 	
-20.3999977111816 	-0.054000506974262 	-20.3999977111816 	0 	
-20.2999992370605 	-0.0544001807720633 	-20.2999992370605 	0 	
-20.1999988555908 	-0.0452001678495435 	-20.1999988555908 	0 	
-20.0999984741211 	-0.0338003862379992 	-20.0999984741211 	0 	
-19.9999980926514 	-0.0354004054315737 	-19.9999980926514 	0 	
-19.8999977111816 	-0.0345009498851141 	-19.8999977111816 	0 	
-19.7999992370605 	-0.03380049390762 	-19.7999992370605 	0 	
-19.6999988555908 	-0.0314004670144641 	-19.6999988555908 	0 	
-19.5999984741211 	-0.0229003930580802 	-19.5999984741211 	0 	
-19.4999980926514 	-0.0106002618813363 	-19.4999980926514 	0 	
-19.3999977111816 	0.00239949774913839 	-19.3999977111816 	0 	
-19.2999992370605 	0.00989990692323772 	-19.2999992370605 	0 	
-19.1999988555908 	0.0250999347226752 	-19.1999988555908 	0 	
-19.0999984741211 	0.0364998636250675 	-19.0999984741211 	0 	
-18.9999980926514 	0.0405996624940599 	-18.9999980926514 	0 	
-18.8999977111816 	0.0382988978853973 	-18.8999977111816 	0 	
-18.7999992370605 	0.0193997382630187 	-18.7999992370605 	0 	
-18.6999988555908 	0.0190993224641716 	-18.6999988555908 	0 	
-18.5999984741211 	0.00699957766482839 	-18.5999984741211 	0 	
-18.4999980926514 	0.0142994802481553 	-18.4999980926514 	0 	
-18.3999977111816 	0.0218989869572397 	-18.3999977111816 	0 	
-18.2999992370605 	0.0243995665550756 	-18.2999992370605 	0 	
-18.1999988555908 	0.0323996113766043 	-18.1999988555908 	0 	
-18.0999984741211 	0.0346997029300837 	-18.0999984741211 	0 	
-17.9999980926514 	0.0307997263917059 	-17.9999980926514 	0 	
-17.8999977111816 	0.0109997179970378 	-17.8999977111816 	0 	
-17.7999992370605 	-0.00119993686530506 	-17.7999992370605 	0 	
-17.6999988555908 	-0.00449975672017899 	-17.6999988555908 	0 	
-17.5999984741211 	0.00140010843460914 	-17.5999984741211 	0 	
-17.4999980926514 	0.0017999512674578 	-17.4999980926514 	0 	
-17.3999977111816 	0.00309966240092763 	-17.3999977111816 	0 	
-17.2999992370605 	0.00299971189451753 	-17.2999992370605 	0 	
-17.1999988555908 	0.00549980545110884 	-17.1999988555908 	0 	
-17.0999984741211 	0.0168995660751534 	-17.0999984741211 	0 	
-16.9999980926514 	0.0248995482434111 	-16.9999980926514 	0 	
-16.8999977111816 	0.0194991978642065 	-16.8999977111816 	0 	
-16.7999992370605 	0.0204995346066426 	-16.7999992370605 	0 	
-16.6999988555908 	0.0102995652196114 	-16.6999988555908 	0 	
-16.5999984741211 	-0.00430027752008755 	-16.5999984741211 	0 	
-16.4999980926514 	-0.019200200556952 	-16.4999980926514 	0 	
-16.3999977111816 	-0.0273002838148386 	-16.3999977111816 	0 	
-16.2999992370605 	-0.027100279712613 	-16.2999992370605 	0 	
-16.1999988555908 	-0.0267003846165608 	-16.1999988555908 	0 	
-16.0999984741211 	-0.0289004613914585 	-16.0999984741211 	0 	
-15.9999980926514 	-0.0343003251073242 	-15.9999980926514 	0 	
-15.8999977111816 	-0.0297003680243506 	-15.8999977111816 	0 	
-15.7999992370605 	-0.0209000868781004 	-15.7999992370605 	0 	
-15.6999988555908 	-0.0153998406422033 	-15.6999988555908 	0 	
-15.5999984741211 	-0.00219981088957866 	-15.5999984741211 	0 	
-15.4999980926514 	0.0147000535944244 	-15.4999980926514 	0 	
-15.3999977111816 	0.0129007166869997 	-15.3999977111816 	0 	
-15.2999992370605 	0.0239002698908735 	-15.2999992370605 	0 	
-15.1999988555908 	0.0291004245736985 	-15.1999988555908 	0 	
-15.0999984741211 	0.0439002402308688 	-15.0999984741211 	0 	
-14.9999980926514 	0.0529000894566707 	-14.9999980926514 	0 	
-14.8999977111816 	0.0618002167720988 	-14.8999977111816 	0 	
-14.7999992370605 	0.0691000565493596 	-14.7999992370605 	0 	
-14.6999988555908 	0.073999974920298 	-14.6999988555908 	0 	
-14.5999984741211 	0.0760999810227077 	-14.5999984741211 	0 	
-14.4999980926514 	0.0722000934583775 	-14.4999980926514 	0 	
-14.3999977111816 	0.064100429724931 	-14.3999977111816 	0 	
-14.2999992370605 	0.0462003280626959 	-14.2999992370605 	0 	
-14.1999988555908 	0.0280004735941475 	-14.1999988555908 	0 	
-14.0999984741211 	0.0268006187434366 	-14.0999984741211 	0 	
-13.9999980926514 	0.0419004949580994 	-13.9999980926514 	0 	
-13.8999977111816 	0.0414008852931147 	-13.8999977111816 	0 	
-13.7999992370605 	0.040900291154685 	-13.7999992370605 	0 	
-13.6999988555908 	0.036100260924286 	-13.6999988555908 	0 	
-13.5999984741211 	0.037800067140779 	-13.5999984741211 	0 	
-13.4999980926514 	0.0275001243571751 	-13.4999980926514 	0 	
-13.3999977111816 	0.0312001693710044 	-13.3999977111816 	0 	
-13.2999992370605 	0.0340999261861725 	-13.2999992370605 	0 	
-13.1999988555908 	0.0231999512652692 	-13.1999988555908 	0 	
-13.0999984741211 	0.0249001121519541 	-13.0999984741211 	0 	
-12.9999980926514 	0.0291002364174346 	-12.9999980926514 	0 	
-12.8999977111816 	0.031200582121528 	-12.8999977111816 	0 	
-12.7999992370605 	0.0260002833347244 	-12.7999992370605 	0 	
-12.6999988555908 	0.0326003255868272 	-12.6999988555908 	0 	
-12.5999984741211 	0.0254999052012863 	-12.5999984741211 	0 	
-12.4999980926514 	0.00460038070741575 	-12.4999980926514 	0 	
-12.3999977111816 	0.00230015573470155 	-12.3999977111816 	0 	
-12.2999992370605 	-0.0215996241568064 	-12.2999992370605 	0 	
-12.1999988555908 	-0.0257995243555342 	-12.1999988555908 	0 	
-12.0999984741211 	-0.0165995414245117 	-12.0999984741211 	0 	
-11.9999980926514 	-0.0168996912507282 	-11.9999980926514 	0 	
-11.8999977111816 	-0.0154992449752172 	-11.8999977111816 	0 	
-11.7999992370605 	-0.00949962167578633 	-11.7999992370605 	0 	
-11.6999988555908 	-0.000499617384775775 	-11.6999988555908 	0 	
-11.5999984741211 	0.0105003801327257 	-11.5999984741211 	0 	
-11.4999980926514 	0.0173002682713559 	-11.4999980926514 	0 	
-11.3999977111816 	0.0185004456507158 	-11.3999977111816 	0 	
-11.2999992370605 	0.017200181770022 	-11.2999992370605 	0 	
-11.1999988555908 	0.0126002149081614 	-11.1999988555908 	0 	
-11.0999984741211 	0.0197003350731393 	-11.0999984741211 	0 	
-10.9999980926514 	0.0271003512352763 	-10.9999980926514 	0 	
-10.8999977111816 	0.021500606155314 	-10.8999977111816 	0 	
-10.7999992370605 	0.0118003354764369 	-10.7999992370605 	0 	
-10.6999988555908 	0.00740049760497641 	-10.6999988555908 	0 	
-10.5999984741211 	0.0135004625772126 	-10.5999984741211 	0 	
-10.4999980926514 	0.016700411986676 	-10.4999980926514 	0 	
-10.3999977111816 	0.00540085382453981 	-10.3999977111816 	0 	
-10.2999992370605 	0.00270055500368471 	-10.2999992370605 	0 	
