Run 1; Ch 2; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM_X 	Run 1; Ch 2; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM_Y 	Run 1; Ch 2; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM; Fitted_X 	Run 1; Ch 2; Fc 2-1; Cy 5; T6; Conc 3.125 6.25 12.5 25 50 nM; Fitted_Y 	
-39.5 	0.727899999925285 	-39.5 	0 	
-39.3999977111816 	1.8853215822237 	-39.3999977111816 	0 	
-39.2999992370605 	-2.24310000248079 	-39.2999992370605 	0 	
-39.1999969482422 	0.170032723573968 	-39.1999969482422 	0 	
-39.0999984741211 	0.72205193262198 	-39.0999984741211 	0 	
-39 	-1.28260000633964 	-39 	0 	
-38.8999977111816 	-0.112199365761626 	-38.8999977111816 	0 	
-38.7999992370605 	0.0319999981402361 	-38.7999992370605 	0 	
-38.6999969482422 	-0.00110030317227938 	-38.6999969482422 	0 	
-38.5999984741211 	-0.0132980344278621 	-38.5999984741211 	0 	
-38.5 	0.0767999979943852 	-38.5 	0 	
-38.3999977111816 	0.106897407149518 	-38.3999977111816 	0 	
-38.2999992370605 	0.0198000145428523 	-38.2999992370605 	0 	
-38.1999969482422 	-0.00540127468048013 	-38.1999969482422 	0 	
-38.0999984741211 	0.0224975042801816 	-38.0999984741211 	0 	
-38 	0.00739999008146697 	-38 	0 	
-37.8999977111816 	0.0128801586142799 	-37.8999977111816 	0 	
-37.7999992370605 	-0.476299947549705 	-37.7999992370605 	0 	
-37.6999969482422 	0.937396807432378 	-37.6999969482422 	0 	
-37.5999984741211 	-0.0743046375282574 	-37.5999984741211 	0 	
-37.5 	-0.0536000002393848 	-37.5 	0 	
-37.3999977111816 	0.328708152461331 	-37.3999977111816 	0 	
-37.2999992370605 	0.3698000000295 	-37.2999992370605 	0 	
-37.1999969482422 	0.212001760075509 	-37.1999969482422 	0 	
-37.0999984741211 	0.157103553723573 	-37.0999984741211 	0 	
-37 	0.207600005385757 	-37 	0 	
-36.8999977111816 	0.100101423260639 	-36.8999977111816 	0 	
-36.7999992370605 	0.125499993228004 	-36.7999992370605 	0 	
-36.6999969482422 	0.0938994473435741 	-36.6999969482422 	0 	
-36.5999984741211 	0.0930009653093293 	-36.5999984741211 	0 	
-36.5 	0.0833000077727775 	-36.5 	0 	
-36.3999977111816 	0.100598970890132 	-36.3999977111816 	0 	
-36.2999992370605 	0.105099994136253 	-36.2999992370605 	0 	
-36.1999969482422 	0.106600032901042 	-36.1999969482422 	0 	
-36.0999984741211 	0.0976990365488746 	-36.0999984741211 	0 	
-36 	0.0989999940866255 	-36 	0 	
-35.8999977111816 	0.102299204350857 	-35.8999977111816 	0 	
-35.7999992370605 	0.0799999945629679 	-35.7999992370605 	0 	
-35.6999969482422 	0.0868997267243685 	-35.6999969482422 	0 	
-35.5999984741211 	0.08209963633999 	-35.5999984741211 	0 	
-35.5 	0.0716999987598683 	-35.5 	0 	
-35.3999977111816 	0.053699459265772 	-35.3999977111816 	0 	
-35.2999992370605 	0.0527999971382087 	-35.2999992370605 	0 	
-35.1999969482422 	0.0715997657789558 	-35.1999969482422 	0 	
-35.0999984741211 	0.0814998711357475 	-35.0999984741211 	0 	
-35 	0.0786999957781518 	-35 	0 	
-34.8999977111816 	0.0778999653120991 	-34.8999977111816 	0 	
-34.7999992370605 	0.0843999930875725 	-34.7999992370605 	0 	
-34.6999969482422 	0.0768997946506715 	-34.6999969482422 	0 	
-34.5999984741211 	0.0865997066248383 	-34.5999984741211 	0 	
-34.5 	0.0857000067226181 	-34.5 	0 	
-34.3999977111816 	0.0800999928942474 	-34.3999977111816 	0 	
-34.2999992370605 	0.0843000027198286 	-34.2999992370605 	0 	
-34.1999969482422 	0.0924998496302578 	-34.1999969482422 	0 	
-34.0999984741211 	0.0974997853045352 	-34.0999984741211 	0 	
-34 	0.093800005124649 	-34 	0 	
-33.8999977111816 	0.0905001229984919 	-33.8999977111816 	0 	
-33.7999992370605 	0.091299996660382 	-33.7999992370605 	0 	
-33.6999969482422 	0.0844998632419447 	-33.6999969482422 	0 	
-33.5999984741211 	0.0798998470054357 	-33.5999984741211 	0 	
-33.5 	0.0750999994270387 	-33.5 	0 	
-33.3999977111816 	0.07349994559263 	-33.3999977111816 	0 	
-33.2999992370605 	0.0736999963992275 	-33.2999992370605 	0 	
-33.1999969482422 	0.0694001169686089 	-33.1999969482422 	0 	
-33.0999984741211 	0.0768997837039933 	-33.0999984741211 	0 	
-33 	0.0733000018335588 	-33 	0 	
-32.8999977111816 	0.0672999666458054 	-32.8999977111816 	0 	
-32.7999992370605 	0.068499996112223 	-32.7999992370605 	0 	
-32.6999969482422 	0.0672998342488427 	-32.6999969482422 	0 	
-32.5999984741211 	0.0675998061633436 	-32.5999984741211 	0 	
-32.5 	0.064100001261977 	-32.5 	0 	
-32.3999977111816 	0.0633998847697512 	-32.3999977111816 	0 	
-32.2999992370605 	0.0644999979012937 	-32.2999992370605 	0 	
-32.1999969482422 	0.0646999129057804 	-32.1999969482422 	0 	
-32.0999984741211 	0.0631998607605055 	-32.0999984741211 	0 	
-31.9999980926514 	0.0611999769462273 	-31.9999980926514 	0 	
-31.8999977111816 	0.0593998723015829 	-31.8999977111816 	0 	
-31.7999992370605 	0.057599935651524 	-31.7999992370605 	0 	
-31.6999988555908 	0.0601999559876276 	-31.6999988555908 	0 	
-31.5999984741211 	0.062899963450036 	-31.5999984741211 	0 	
-31.4999980926514 	0.0642999180781771 	-31.4999980926514 	0 	
-31.3999977111816 	0.0618998378377 	-31.3999977111816 	0 	
-31.2999992370605 	0.0604000258208544 	-31.2999992370605 	0 	
-31.1999988555908 	0.0623999543568061 	-31.1999988555908 	0 	
-31.0999984741211 	0.0648999045843084 	-31.0999984741211 	0 	
-30.9999980926514 	0.0599999540572753 	-30.9999980926514 	0 	
-30.8999977111816 	0.0613998578883184 	-30.8999977111816 	0 	
-30.7999992370605 	0.061299964927457 	-30.7999992370605 	0 	
-30.6999988555908 	0.059199906350841 	-30.6999988555908 	0 	
-30.5999984741211 	0.0547999053560488 	-30.5999984741211 	0 	
-30.4999980926514 	0.0494998911599396 	-30.4999980926514 	0 	
-30.3999977111816 	0.0437998708730447 	-30.3999977111816 	0 	
-30.2999992370605 	0.0408999697792751 	-30.2999992370605 	0 	
-30.1999988555908 	0.0389999088292825 	-30.1999988555908 	0 	
-30.0999984741211 	0.0339999450916366 	-30.0999984741211 	0 	
-29.9999980926514 	0.0340998827923613 	-29.9999980926514 	0 	
-29.8999977111816 	0.0323998262720124 	-29.8999977111816 	0 	
-29.7999992370605 	0.0314000464240962 	-29.7999992370605 	0 	
-29.6999988555908 	0.0334999583610625 	-29.6999988555908 	0 	
-29.5999984741211 	0.0345999749624752 	-29.5999984741211 	0 	
-29.4999980926514 	0.0369000294958823 	-29.4999980926514 	0 	
-29.3999977111816 	0.039100037956814 	-29.3999977111816 	0 	
-29.2999992370605 	0.0405999282229459 	-29.2999992370605 	0 	
-29.1999988555908 	0.038399943823606 	-29.1999988555908 	0 	
-29.0999984741211 	0.0393999824445928 	-29.0999984741211 	0 	
-28.9999980926514 	0.0396999485819833 	-28.9999980926514 	0 	
-28.8999977111816 	0.0380999326807796 	-28.8999977111816 	0 	
-28.7999992370605 	0.0370999655424384 	-28.7999992370605 	0 	
-28.6999988555908 	0.0365999706300499 	-28.6999988555908 	0 	
-28.5999984741211 	0.0370999526894593 	-28.5999984741211 	0 	
-28.4999980926514 	0.0372999401733978 	-28.4999980926514 	0 	
-28.3999977111816 	0.0337997928727418 	-28.3999977111816 	0 	
-28.2999992370605 	0.0284999287068786 	-28.2999992370605 	0 	
-28.1999988555908 	0.027999946338241 	-28.1999988555908 	0 	
-28.0999984741211 	0.0300999659921217 	-28.0999984741211 	0 	
-27.9999980926514 	0.0323999876782182 	-27.9999980926514 	0 	
-27.8999977111816 	0.03259995330518 	-27.8999977111816 	0 	
-27.7999992370605 	0.0328999441699125 	-27.7999992370605 	0 	
-27.6999988555908 	0.0358999900745403 	-27.6999988555908 	0 	
-27.5999984741211 	0.0366999257312273 	-27.5999984741211 	0 	
-27.4999980926514 	0.0352999826500309 	-27.4999980926514 	0 	
-27.3999977111816 	0.034600027018314 	-27.3999977111816 	0 	
-27.2999992370605 	0.036299955980212 	-27.2999992370605 	0 	
-27.1999988555908 	0.036799903075007 	-27.1999988555908 	0 	
-27.0999984741211 	0.0330000113899587 	-27.0999984741211 	0 	
-26.9999980926514 	0.0320999773102812 	-26.9999980926514 	0 	
-26.8999977111816 	0.0303999313837267 	-26.8999977111816 	0 	
-26.7999992370605 	0.0310000303688867 	-26.7999992370605 	0 	
-26.6999988555908 	0.0332999768943409 	-26.6999988555908 	0 	
-26.5999984741211 	0.0327999943001487 	-26.5999984741211 	0 	
-26.4999980926514 	0.031799998068891 	-26.4999980926514 	0 	
-26.3999977111816 	0.033000007551891 	-26.3999977111816 	0 	
-26.2999992370605 	0.0338000323572487 	-26.2999992370605 	0 	
-26.1999988555908 	0.0369000210885133 	-26.1999988555908 	0 	
-26.0999984741211 	0.0404999563543242 	-26.0999984741211 	0 	
-25.9999980926514 	0.0392999313917244 	-25.9999980926514 	0 	
-25.8999977111816 	0.0376999961808906 	-25.8999977111816 	0 	
-25.7999992370605 	0.0398000400055025 	-25.7999992370605 	0 	
-25.6999988555908 	0.0418000114113966 	-25.6999988555908 	0 	
-25.5999984741211 	0.0414999959539273 	-25.5999984741211 	0 	
-25.4999980926514 	0.0423999082850059 	-25.4999980926514 	0 	
-25.3999977111816 	0.0397000801203831 	-25.3999977111816 	0 	
-25.2999992370605 	0.0419999999503489 	-25.2999992370605 	0 	
-25.1999988555908 	0.0409999675830477 	-25.1999988555908 	0 	
-25.0999984741211 	0.0423999847334926 	-25.0999984741211 	0 	
-24.9999980926514 	0.0391999885978294 	-24.9999980926514 	0 	
-24.8999977111816 	0.0415000115026487 	-24.8999977111816 	0 	
-24.7999992370605 	0.0434000267086958 	-24.7999992370605 	0 	
-24.6999988555908 	0.0434999542235737 	-24.6999988555908 	0 	
-24.5999984741211 	0.044999994297541 	-24.5999984741211 	0 	
-24.4999980926514 	0.0467000248427212 	-24.4999980926514 	0 	
-24.3999977111816 	0.0479000953928335 	-24.3999977111816 	0 	
-24.2999992370605 	0.0513999809008965 	-24.2999992370605 	0 	
-24.1999988555908 	0.0499000133531808 	-24.1999988555908 	0 	
-24.0999984741211 	0.049100005740911 	-24.0999984741211 	0 	
-23.9999980926514 	0.047800038177229 	-23.9999980926514 	0 	
-23.8999977111816 	0.0493000687711174 	-23.8999977111816 	0 	
-23.7999992370605 	0.049400051280827 	-23.7999992370605 	0 	
-23.6999988555908 	0.0519999964017188 	-23.6999988555908 	0 	
-23.5999984741211 	0.0544000400477671 	-23.5999984741211 	0 	
-23.4999980926514 	0.0571999978310487 	-23.4999980926514 	0 	
-23.3999977111816 	0.0560999654080661 	-23.3999977111816 	0 	
-23.2999992370605 	0.0560999427179922 	-23.2999992370605 	0 	
-23.1999988555908 	0.0553000325635367 	-23.1999988555908 	0 	
-23.0999984741211 	0.0567000324736 	-23.0999984741211 	0 	
-22.9999980926514 	0.0567999997838342 	-22.9999980926514 	0 	
-22.8999977111816 	0.0560999010594969 	-22.8999977111816 	0 	
-22.7999992370605 	0.0517999827789026 	-22.7999992370605 	0 	
-22.6999988555908 	0.0518999829109816 	-22.6999988555908 	0 	
-22.5999984741211 	0.0493000440437754 	-22.5999984741211 	0 	
-22.4999980926514 	0.0533000722680299 	-22.4999980926514 	0 	
-22.3999977111816 	0.0591999652278901 	-22.3999977111816 	0 	
-22.2999992370605 	0.058099977002712 	-22.2999992370605 	0 	
-22.1999988555908 	0.0582000004615111 	-22.1999988555908 	0 	
-22.0999984741211 	0.0582000628601236 	-22.0999984741211 	0 	
-21.9999980926514 	0.0604999752977164 	-21.9999980926514 	0 	
-21.8999977111816 	0.0633000576017366 	-21.8999977111816 	0 	
-21.7999992370605 	0.0620999889251834 	-21.7999992370605 	0 	
-21.6999988555908 	0.0698999480373459 	-21.6999988555908 	0 	
-21.5999984741211 	0.075000076489232 	-21.5999984741211 	0 	
-21.4999980926514 	0.0910000175426831 	-21.4999980926514 	0 	
-21.3999977111816 	0.0932001063520147 	-21.3999977111816 	0 	
-21.2999992370605 	0.0897999907683698 	-21.2999992370605 	0 	
-21.1999988555908 	0.0801000474966713 	-21.1999988555908 	0 	
-21.0999984741211 	0.0764000190320075 	-21.0999984741211 	0 	
-20.9999980926514 	0.0706000937061617 	-20.9999980926514 	0 	
-20.8999977111816 	0.0724002902716165 	-20.8999977111816 	0 	
-20.7999992370605 	0.0788999998258078 	-20.7999992370605 	0 	
-20.6999988555908 	0.0784000242128968 	-20.6999988555908 	0 	
-20.5999984741211 	0.0811999998222745 	-20.5999984741211 	0 	
-20.4999980926514 	0.082299973746558 	-20.4999980926514 	0 	
-20.3999977111816 	0.0739003747257811 	-20.3999977111816 	0 	
-20.2999992370605 	0.0752000228058023 	-20.2999992370605 	0 	
-20.1999988555908 	0.0714000244915951 	-20.1999988555908 	0 	
-20.0999984741211 	0.0687000410798646 	-20.0999984741211 	0 	
-19.9999980926514 	0.0668000468249375 	-19.9999980926514 	0 	
-19.8999977111816 	0.057400210385822 	-19.8999977111816 	0 	
-19.7999992370605 	0.0581000464408135 	-19.7999992370605 	0 	
-19.6999988555908 	0.0611999343345815 	-19.6999988555908 	0 	
-19.5999984741211 	0.0549000762512151 	-19.5999984741211 	0 	
-19.4999980926514 	0.0541000284792972 	-19.4999980926514 	0 	
-19.3999977111816 	0.051400048450887 	-19.3999977111816 	0 	
-19.2999992370605 	0.0481000443796802 	-19.2999992370605 	0 	
-19.1999988555908 	0.0503000348871865 	-19.1999988555908 	0 	
-19.0999984741211 	0.0510998919598933 	-19.0999984741211 	0 	
-18.9999980926514 	0.0478999983315589 	-18.9999980926514 	0 	
-18.8999977111816 	0.0525001605492434 	-18.8999977111816 	0 	
-18.7999992370605 	0.0553000714608061 	-18.7999992370605 	0 	
-18.6999988555908 	0.0529000037058722 	-18.6999988555908 	0 	
-18.5999984741211 	0.0419000368965499 	-18.5999984741211 	0 	
-18.4999980926514 	0.0300000301103864 	-18.4999980926514 	0 	
-18.3999977111816 	0.0161001631968247 	-18.3999977111816 	0 	
-18.2999992370605 	0.00850009273199248 	-18.2999992370605 	0 	
-18.1999988555908 	0.00300007712576189 	-18.1999988555908 	0 	
-18.0999984741211 	-0.00229996353300521 	-18.0999984741211 	0 	
-17.9999980926514 	-0.00539998183376156 	-17.9999980926514 	0 	
-17.8999977111816 	-0.00889993848613813 	-17.8999977111816 	0 	
-17.7999992370605 	-0.0079999022600532 	-17.7999992370605 	0 	
-17.6999988555908 	-0.00609990195152932 	-17.6999988555908 	0 	
-17.5999984741211 	-0.00459984203916974 	-17.5999984741211 	0 	
-17.4999980926514 	1.40309566631913E-07 	-17.4999980926514 	0 	
-17.3999977111816 	-0.012699669063295 	-17.3999977111816 	0 	
-17.2999992370605 	-0.00909999862778932 	-17.2999992370605 	0 	
-17.1999988555908 	-0.0144001666085387 	-17.1999988555908 	0 	
-17.0999984741211 	-0.0250001557215001 	-17.0999984741211 	0 	
-16.9999980926514 	-0.0314999948132026 	-16.9999980926514 	0 	
-16.8999977111816 	-0.0319000700001197 	-16.8999977111816 	0 	
-16.7999992370605 	-0.0346000259669381 	-16.7999992370605 	0 	
-16.6999988555908 	-0.0401000107194704 	-16.6999988555908 	0 	
-16.5999984741211 	-0.0464000134234084 	-16.5999984741211 	0 	
-16.4999980926514 	-0.0502998224146722 	-16.4999980926514 	0 	
-16.3999977111816 	-0.0438998454919783 	-16.3999977111816 	0 	
-16.2999992370605 	-0.0475999193440657 	-16.2999992370605 	0 	
-16.1999988555908 	-0.0444999153005483 	-16.1999988555908 	0 	
-16.0999984741211 	-0.041599892974773 	-16.0999984741211 	0 	
-15.9999980926514 	-0.0429997385763272 	-15.9999980926514 	0 	
-15.8999977111816 	-0.0348993393672572 	-15.8999977111816 	0 	
